director_name,actor_1_name,actor_2_name,actor_3_name,Genres,movie_title,comb
Guy Ritchie, Jason Statham,Holt McCallany,Jeffrey Donovan,Action Crime Thriller,wrath of man, Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Action Crime Thriller
Anthony Mandler, Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,Action Fantasy Adventure,monster, Kelvin Harrison Jr. Jennifer Ehle Tim Blake Nelson Anthony Mandler Action Fantasy Adventure
Gia Coppola, Andrew Garfield,Maya Hawke,Nat Wolff,Comedy Drama,mainstream, Andrew Garfield Maya Hawke Nat Wolff Gia Coppola Comedy Drama
David Oyelowo, David Oyelowo,Rosario Dawson,Lonnie Chavis,Adventure,the water man, David Oyelowo Rosario Dawson Lonnie Chavis David Oyelowo Adventure
Billy Crystal, Billy Crystal,Tiffany Haddish,Penn Badgley,Comedy Drama,here today, Billy Crystal Tiffany Haddish Penn Badgley Billy Crystal Comedy Drama
Phillip Noyce, Jack Huston,Emilia Clarke,Thora Birch,Thriller Crime,above suspicion, Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Crime
Ivo Raza, David Koechner,Ed Begley Jr.,Chaz Bono,Comedy,reboot camp, David Koechner Ed Begley Jr. Chaz Bono Ivo Raza Comedy
Karl Holt, Karl Holt,Claire Cartwright,David Wayman,Horror Comedy,benny loves you, Karl Holt Claire Cartwright David Wayman Karl Holt Horror Comedy
Alexandre Aja, Mélanie Laurent,Mathieu Amalric,Malik Zidi,Crime Drama Mystery Thriller,oxygen, Mélanie Laurent Mathieu Amalric Malik Zidi Alexandre Aja Crime Drama Mystery Thriller
Zack Snyder, Dave Bautista,Ella Purnell,Omari Hardwick,Action Adventure Horror Crime,army of the dead, Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Adventure Horror Crime
Taylor Sheridan, Angelina Jolie,Nicholas Hoult,Finn Little,Thriller,those who wish me dead, Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller
Joe Wright, Amy Adams,Gary Oldman,Anthony Mackie,Drama Thriller Crime Mystery,the woman in the window, Amy Adams Gary Oldman Anthony Mackie Joe Wright Drama Thriller Crime Mystery
Darren Lynn Bousman, Chris Rock,Max Minghella,Marisol Nichols,Horror Crime Mystery,spiral, Chris Rock Max Minghella Marisol Nichols Darren Lynn Bousman Horror Crime Mystery
Christoph Waltz, Christoph Waltz,Vanessa Redgrave,Annette Bening,Crime Drama,georgetown, Christoph Waltz Vanessa Redgrave Annette Bening Christoph Waltz Crime Drama
Brian Baugh, Rose Reid,Jedidiah Goodacre,Katherine McNamara,Romance Drama,finding you, Rose Reid Jedidiah Goodacre Katherine McNamara Brian Baugh Romance Drama
Robert Machoian, Clayne Crawford,Sepideh Moafi,Chris Coy,Drama,the killing of two lovers, Clayne Crawford Sepideh Moafi Chris Coy Robert Machoian Drama
"Mark S. Allen, Dante Yore", John Littlefield,Eric Roberts,Alyson Gorske,Horror Action,616 wilford lane," John Littlefield Eric Roberts Alyson Gorske Mark S. Allen, Dante Yore Horror Action"
Euros Lyn, Toni Collette,Damian Lewis,Owen Teale,Comedy Drama,dream horse, Toni Collette Damian Lewis Owen Teale Euros Lyn Comedy Drama
Esteban Arango, Moisés Arias,Mateo Arias,Daniel Dae Kim,Drama,blast beat, Moisés Arias Mateo Arias Daniel Dae Kim Esteban Arango Drama
John Krasinski, Emily Blunt,Cillian Murphy,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place part ii, Emily Blunt Cillian Murphy Millicent Simmonds John Krasinski Science Fiction Thriller Horror
Craig Gillespie, Emma Stone,Emma Thompson,Joel Fry,Comedy Crime,cruella, Emma Stone Emma Thompson Joel Fry Craig Gillespie Comedy Crime
Natalie Morales, Kuhoo Verma,Victoria Moroles,unknown,Comedy Drama Romance,plan b, Kuhoo Verma Victoria Moroles unknown Natalie Morales Comedy Drama Romance
Michael Barnett, Mack Beggs,Sarah Rose Huckman,Terry Miller,Documentary,changing the game, Mack Beggs Sarah Rose Huckman Terry Miller Michael Barnett Documentary
"Elaine Bogan, Ennio Torresan", Isabela Merced,Marsai Martin,Mckenna Grace,Animation Adventure Family Western,spirit untamed," Isabela Merced Marsai Martin Mckenna Grace Elaine Bogan, Ennio Torresan Animation Adventure Family Western"
Michael Chaves, Patrick Wilson,Vera Farmiga,Ruairi O'Connor,Horror Mystery Thriller,the conjuring: the devil made me do it, Patrick Wilson Vera Farmiga Ruairi O'Connor Michael Chaves Horror Mystery Thriller
Nabil Elderkin, Jacob Latimore,Charlie Plummer,Jonathan Majors,Drama Crime,gully, Jacob Latimore Charlie Plummer Jonathan Majors Nabil Elderkin Drama Crime
Christopher MacBride, Dylan O'Brien,Maika Monroe,Hannah Gross,Thriller Drama Mystery,flashback, Dylan O'Brien Maika Monroe Hannah Gross Christopher MacBride Thriller Drama Mystery
Todd Randall, Milo Gibson,Laurence Fishburne,Glenn Morshower,Drama,under the stadium lights, Milo Gibson Laurence Fishburne Glenn Morshower Todd Randall Drama
Sebastian Siegel, Mena Suvari,Stuart Townsend,Frances Fisher,Drama Comedy Romance,grace and grit, Mena Suvari Stuart Townsend Frances Fisher Sebastian Siegel Drama Comedy Romance
Mark Raso, Gina Rodriguez,Jennifer Jason Leigh,Barry Pepper,Drama Science Fiction Thriller,awake, Gina Rodriguez Jennifer Jason Leigh Barry Pepper Mark Raso Drama Science Fiction Thriller
Jon M. Chu, Anthony Ramos,Corey Hawkins,Leslie Grace,Drama Music Romance,in the heights, Anthony Ramos Corey Hawkins Leslie Grace Jon M. Chu Drama Music Romance
Antoine Fuqua, Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,Science Fiction Action Thriller,infinite, Mark Wahlberg Chiwetel Ejiofor Sophie Cookson Antoine Fuqua Science Fiction Action Thriller
Will Gluck, James Corden,Rose Byrne,Domhnall Gleeson,Family Comedy Adventure Animation Fantasy,peter rabbit 2: the runaway, James Corden Rose Byrne Domhnall Gleeson Will Gluck Family Comedy Adventure Animation Fantasy
Chris Appelhans, Jimmy Wong,John Cho,Constance Wu,Animation Family Comedy Fantasy,wish dragon, Jimmy Wong John Cho Constance Wu Chris Appelhans Animation Family Comedy Fantasy
Renny Harlin, Pierce Brosnan,Rami Jaber,Hermione Corfield,Action Comedy Crime,the misfits, Pierce Brosnan Rami Jaber Hermione Corfield Renny Harlin Action Comedy Crime
Ty Roberts, Luke Wilson,Vinessa Shaw,Wayne Knight,History Drama,12 mighty orphans, Luke Wilson Vinessa Shaw Wayne Knight Ty Roberts History Drama
Deon Taylor, Mike Epps,Katt Williams,Bresha Webb,Comedy Horror,the house next door: meet the blacks 2, Mike Epps Katt Williams Bresha Webb Deon Taylor Comedy Horror
Michael Lembeck, Ellen Burstyn,James Caan,Ann-Margret,Romance Comedy,queen bees, Ellen Burstyn James Caan Ann-Margret Michael Lembeck Romance Comedy
"Baron Davis, Carl Reid, Steven V. Vasquez Jr.", David Arquette,Snoop Dogg,Tom Lister Jr.,Comedy,domino: battle of the bones," David Arquette Snoop Dogg Tom Lister Jr. Baron Davis, Carl Reid, Steven V. Vasquez Jr. Comedy"
Patrick Hughes, Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Action Comedy Thriller,hitman's wife's bodyguard, Ryan Reynolds Samuel L. Jackson Salma Hayek Patrick Hughes Action Comedy Thriller
Enrico Casarosa, Jacob Tremblay,Jack Dylan Grazer,Emma Berman,Animation Comedy Family Fantasy,luca, Jacob Tremblay Jack Dylan Grazer Emma Berman Enrico Casarosa Animation Comedy Family Fantasy
Paul Weitz, Kevin Hart,Alfre Woodard,Lil Rel Howery,Drama Family Comedy,fatherhood, Kevin Hart Alfre Woodard Lil Rel Howery Paul Weitz Drama Family Comedy
Jimmy Giannopoulos, Shiloh Fernandez,Val Kilmer,Ewan McGregor,Crime Thriller,the birthday cake, Shiloh Fernandez Val Kilmer Ewan McGregor Jimmy Giannopoulos Crime Thriller
Mariem Pérez Riera, Rita Moreno,Eva Longoria,George Chakiris,Documentary,rita moreno: just a girl who decided to go for it, Rita Moreno Eva Longoria George Chakiris Mariem Pérez Riera Documentary
Edgar Wright, Ron Mael,Russell Mael,unknown,Documentary Music,the sparks brothers, Ron Mael Russell Mael unknown Edgar Wright Documentary Music
Lisa Immordino Vreeland, Jim Parsons,Zachary Quinto,unknown,Documentary,truman & tennessee: an intimate conversation, Jim Parsons Zachary Quinto unknown Lisa Immordino Vreeland Documentary
Tyler Savage, Christine Ko,Vincent van Horn,Michael Joplin,Thriller,stalker, Christine Ko Vincent van Horn Michael Joplin Tyler Savage Thriller
Jamie Adams, Alia Shawkat,Eiza González,Chanel Cresswell,Comedy Drama,love spreads, Alia Shawkat Eiza González Chanel Cresswell Jamie Adams Comedy Drama
Nancy Buirski, Gary Duncan,Richard Sobol,unknown,Documentary,a crime on the bayou, Gary Duncan Richard Sobol unknown Nancy Buirski Documentary
Kimmy Gatewood, Iliza Shlesinger,Ryan Hansen,Margaret Cho,Comedy Drama Mystery Romance Thriller,good on paper, Iliza Shlesinger Ryan Hansen Margaret Cho Kimmy Gatewood Comedy Drama Mystery Romance Thriller
Justin Lin, Vin Diesel,John Cena,Michelle Rodriguez,Action Crime Thriller,f9, Vin Diesel John Cena Michelle Rodriguez Justin Lin Action Crime Thriller
Jonathan Hensleigh, Liam Neeson,Benjamin Walker,Amber Midthunder,Action Adventure Drama Thriller,the ice road, Liam Neeson Benjamin Walker Amber Midthunder Jonathan Hensleigh Action Adventure Drama Thriller
Josh Ruben, Sam Richardson,Milana Vayntrub,George Basil,Comedy Horror,werewolves within, Sam Richardson Milana Vayntrub George Basil Josh Ruben Comedy Horror
John Lee, Ilana Glazer,Justin Theroux,Sophia Bush,Horror Mystery Thriller,false positive, Ilana Glazer Justin Theroux Sophia Bush John Lee Horror Mystery Thriller
Eytan Rockaway, Harvey Keitel,Sam Worthington,AnnaSophia Robb,Crime Drama Thriller,lansky, Harvey Keitel Sam Worthington AnnaSophia Robb Eytan Rockaway Crime Drama Thriller
Heidi Ewing, Armando Espitia,Christian Vázquez,Michelle Rodríguez,Drama Romance,i carry you with me, Armando Espitia Christian Vázquez Michelle Rodríguez Heidi Ewing Drama Romance
Vanessa Roth, Mary J. Blige,Taraji P. Henson,Alicia Keys,Documentary Music,mary j. blige's my life, Mary J. Blige Taraji P. Henson Alicia Keys Vanessa Roth Documentary Music
Drew Xanthopoulos, Michelle Fournet,Ellen Garland,unknown,Documentary,fathom, Michelle Fournet Ellen Garland unknown Drew Xanthopoulos Documentary
Isaiah Smallman,Isaiah Smallman (director); Johnny Ray Gill,Kate Cobb,Vicky Jeudy,Crime Drama,rollers,Isaiah Smallman (director); Johnny Ray Gill Kate Cobb Vicky Jeudy Isaiah Smallman Crime Drama
